"Type","Title","Url","Created","Status"
"SiteCollection","CDX 1","https://M365x22747677.sharepoint.com/sites/CDX1","19/09/2025 11:27:26 AM","Success"
"SubSite","Subsite 1","https://M365x22747677.sharepoint.com/sites/CDX1/subsite1","19/09/2025 11:27:36 AM","Success"
"SubSite","Subsite 2","https://M365x22747677.sharepoint.com/sites/CDX1/subsite2","19/09/2025 11:28:07 AM","Success"
"SubSite","Subsite 3","https://M365x22747677.sharepoint.com/sites/CDX1/subsite3","19/09/2025 11:28:40 AM","Success"
"SubSite","Subsite 4","https://M365x22747677.sharepoint.com/sites/CDX1/subsite4","19/09/2025 11:29:11 AM","Success"
"SubSite","Subsite 5","https://M365x22747677.sharepoint.com/sites/CDX1/subsite5","19/09/2025 11:29:43 AM","Success"
"SubSite","Subsite 6","https://M365x22747677.sharepoint.com/sites/CDX1/subsite6","19/09/2025 11:30:16 AM","Success"
"SubSite","Subsite 7","https://M365x22747677.sharepoint.com/sites/CDX1/subsite7","19/09/2025 11:30:49 AM","Success"
"SubSite","Subsite 8","https://M365x22747677.sharepoint.com/sites/CDX1/subsite8","19/09/2025 11:31:19 AM","Success"
"SubSite","Subsite 9","https://M365x22747677.sharepoint.com/sites/CDX1/subsite9","19/09/2025 11:31:53 AM","Success"
"SubSite","Subsite 10","https://M365x22747677.sharepoint.com/sites/CDX1/subsite10","19/09/2025 11:32:25 AM","Success"
"SiteCollection","CDX 2","https://M365x22747677.sharepoint.com/sites/CDX2","19/09/2025 11:34:49 AM","Success"
"SubSite","Subsite 1","https://M365x22747677.sharepoint.com/sites/CDX2/subsite1","19/09/2025 11:34:56 AM","Success"
"SubSite","Subsite 2","https://M365x22747677.sharepoint.com/sites/CDX2/subsite2","19/09/2025 11:35:28 AM","Success"
"SubSite","Subsite 3","https://M365x22747677.sharepoint.com/sites/CDX2/subsite3","19/09/2025 11:35:59 AM","Success"
"SubSite","Subsite 4","https://M365x22747677.sharepoint.com/sites/CDX2/subsite4","19/09/2025 11:36:29 AM","Success"
"SubSite","Subsite 5","https://M365x22747677.sharepoint.com/sites/CDX2/subsite5","19/09/2025 11:36:58 AM","Success"
"SubSite","Subsite 6","https://M365x22747677.sharepoint.com/sites/CDX2/subsite6","19/09/2025 11:37:31 AM","Success"
"SubSite","Subsite 7","https://M365x22747677.sharepoint.com/sites/CDX2/subsite7","19/09/2025 11:38:02 AM","Success"
"SubSite","Subsite 8","https://M365x22747677.sharepoint.com/sites/CDX2/subsite8","19/09/2025 11:38:33 AM","Success"
"SubSite","Subsite 9","https://M365x22747677.sharepoint.com/sites/CDX2/subsite9","19/09/2025 11:39:07 AM","Success"
"SubSite","Subsite 10","https://M365x22747677.sharepoint.com/sites/CDX2/subsite10","19/09/2025 11:39:40 AM","Success"
"SiteCollection","CDX 3","https://M365x22747677.sharepoint.com/sites/CDX3","19/09/2025 11:42:04 AM","Success"
"SubSite","Subsite 1","https://M365x22747677.sharepoint.com/sites/CDX3/subsite1","19/09/2025 11:42:13 AM","Success"
"SubSite","Subsite 2","https://M365x22747677.sharepoint.com/sites/CDX3/subsite2","19/09/2025 11:42:43 AM","Success"
"SubSite","Subsite 3","https://M365x22747677.sharepoint.com/sites/CDX3/subsite3","19/09/2025 11:43:12 AM","Success"
"SubSite","Subsite 4","https://M365x22747677.sharepoint.com/sites/CDX3/subsite4","19/09/2025 11:43:43 AM","Success"
"SubSite","Subsite 5","https://M365x22747677.sharepoint.com/sites/CDX3/subsite5","19/09/2025 11:44:13 AM","Success"
"SubSite","Subsite 6","https://M365x22747677.sharepoint.com/sites/CDX3/subsite6","19/09/2025 11:44:48 AM","Success"
"SubSite","Subsite 7","https://M365x22747677.sharepoint.com/sites/CDX3/subsite7","19/09/2025 11:45:25 AM","Success"
"SubSite","Subsite 8","https://M365x22747677.sharepoint.com/sites/CDX3/subsite8","19/09/2025 11:45:58 AM","Success"
"SubSite","Subsite 9","https://M365x22747677.sharepoint.com/sites/CDX3/subsite9","19/09/2025 11:46:30 AM","Success"
"SubSite","Subsite 10","https://M365x22747677.sharepoint.com/sites/CDX3/subsite10","19/09/2025 11:47:01 AM","Success"
"SiteCollection","CDX 4","https://M365x22747677.sharepoint.com/sites/CDX4","19/09/2025 11:49:26 AM","Success"
"SubSite","Subsite 1","https://M365x22747677.sharepoint.com/sites/CDX4/subsite1","19/09/2025 11:49:31 AM","Success"
"SubSite","Subsite 2","https://M365x22747677.sharepoint.com/sites/CDX4/subsite2","19/09/2025 11:50:01 AM","Success"
"SubSite","Subsite 3","https://M365x22747677.sharepoint.com/sites/CDX4/subsite3","19/09/2025 11:50:31 AM","Success"
"SubSite","Subsite 4","https://M365x22747677.sharepoint.com/sites/CDX4/subsite4","19/09/2025 11:50:59 AM","Success"
"SubSite","Subsite 5","https://M365x22747677.sharepoint.com/sites/CDX4/subsite5","19/09/2025 11:51:40 AM","Success"
"SubSite","Subsite 6","https://M365x22747677.sharepoint.com/sites/CDX4/subsite6","19/09/2025 11:52:08 AM","Success"
"SubSite","Subsite 7","https://M365x22747677.sharepoint.com/sites/CDX4/subsite7","19/09/2025 11:52:40 AM","Success"
